Campaign_Type,ROI,Target_Audience,Channel_Used,Conversion_Rate,Clicks,Impressions,Duration,Acquisition_Cost,Location,Language,Customer_Segment,Engagement_Score,CTR,Cost_Per_Click
Email,3.2,Young Adults,Email,5.2,1500,25000,14,$850,New York,English,High Value,78,6.0,0.57
Social Media,2.8,Adults,Facebook,3.8,2200,45000,21,$1200,California,English,Regular,65,4.9,0.55
PPC,4.1,Seniors,Google Ads,6.1,1800,32000,7,$950,Texas,English,Premium,82,5.6,0.53
Display,2.1,Young Adults,Banner Ads,2.4,900,38000,28,$1100,Florida,English,Regular,45,2.4,1.22
Influencer,3.8,Adults,Instagram,4.7,2800,52000,14,$1350,Illinois,English,High Value,89,5.4,0.48
Content,2.9,Seniors,Blog,3.9,1200,28000,35,$780,Ohio,English,Regular,71,4.3,0.65
Video,4.5,Young Adults,YouTube,7.2,3200,48000,10,$1600,Pennsylvania,English,Premium,95,6.7,0.50
Search,3.7,Adults,Google Search,5.8,2100,35000,14,$920,Georgia,English,High Value,85,6.0,0.44
Retargeting,5.2,High Value,Facebook,8.1,1600,22000,7,$650,North Carolina,English,Premium,92,7.3,0.41
Affiliate,3.4,Regular,Partner Sites,4.6,1400,30000,21,$800,Michigan,English,Regular,68,4.7,0.57
Mobile,4.0,Young Adults,Mobile Apps,6.3,2500,40000,14,$1100,Virginia,English,High Value,88,6.3,0.44
Podcast,2.6,Adults,Audio Ads,3.2,800,25000,28,$900,Washington,English,Regular,58,3.2,1.13
Native,3.9,Seniors,Native Ads,5.5,1900,35000,21,$1050,Arizona,English,Premium,79,5.4,0.55
Television,1.8,All,TV,1.9,500,60000,42,$2500,Colorado,English,Regular,35,0.8,5.00
Radio,2.2,Adults,Radio,2.7,600,45000,35,$1800,Nevada,English,Regular,42,1.3,3.00